k,regressor,VA,RMSE,r2,file_type,dynamic,feature_sel,selection_method,pearson_treshold,max_features
14,LR,VA(std),0.0424664088078948,0.9394219390361712,fusion,False,True,backward,0.0,0
2,LR,VA(std),0.042805642407982424,0.9380983684674472,audio,False,True,backward,0.0,0
14,Ridge,VA(std),0.042894172318433905,0.9384572087649218,fusion,False,True,backward,0.0,0
2,Ridge,VA(std),0.04317777649585454,0.9371694338391668,audio,False,True,backward,0.0,0
5,LR,VA(std),0.04425370019211107,0.9485043061181118,audio,False,True,RreliefF,0.0,10
8,LR,VA(std),0.044285163125984926,0.9606191227606541,eda,False,True,backward,0.0,0
16,Ridge,VA(std),0.04431913665209785,0.9601928270551916,fusion,False,True,embedded,0.0,0
4,Ridge,VA(std),0.044321896751413986,0.9279868276433124,audio,False,True,embedded,0.0,0
16,LR,VA(std),0.04432354432944473,0.960173768172712,fusion,False,True,embedded,0.0,0
4,LR,VA(std),0.04432674854177287,0.927981543741508,audio,False,True,embedded,0.0,0
5,Ridge,VA(std),0.044406666092408266,0.948283331011012,audio,False,True,RreliefF,0.0,10
8,Ridge,VA(std),0.044566931833998624,0.9601420057922503,eda,False,True,backward,0.0,0
10,LR,VA(std),0.04469802963217619,0.9598049260068177,eda,False,True,embedded,0.0,0
10,Ridge,VA(std),0.044703753075482563,0.9598037957522534,eda,False,True,embedded,0.0,0
7,Ridge,VA(std),0.04497310906534875,0.5445421100483543,eda,False,True,Pearson,0.05,0
7,LR,VA(std),0.04507764579163363,0.5420869178335249,eda,False,True,Pearson,0.05,0
1,Ridge,VA(std),0.045123105960327314,0.8731959465079393,audio,False,True,Pearson,0.1,0
13,Ridge,VA(std),0.045123105960327314,0.8731959465079393,fusion,False,True,Pearson,0.1,0
1,LR,VA(std),0.04521566136310804,0.8725496628623286,audio,False,True,Pearson,0.1,0
13,LR,VA(std),0.04521566136310804,0.8725496628623286,fusion,False,True,Pearson,0.1,0
