k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
2,Ridge,A(std),0.041760728270516835,0.2087628976837516,audio,False,True,backward,0.0,0
2,LR,A(std),0.04177053252694314,0.20851243243740444,audio,False,True,backward,0.0,0
14,LR,A(std),0.04186661429718814,0.20147198634838803,fusion,False,True,backward,0.0,0
14,Ridge,A(std),0.04197542998399399,0.1992953685834739,fusion,False,True,backward,0.0,0
16,Ridge,A(std),0.04300100639342845,0.16024042081566808,fusion,False,True,embedded,0.0,0
16,LR,A(std),0.04300356851654032,0.16013559695112414,fusion,False,True,embedded,0.0,0
4,Ridge,A(std),0.043062947835926166,0.15667840606136196,audio,False,True,embedded,0.0,0
4,LR,A(std),0.04307115928060551,0.1563475398733999,audio,False,True,embedded,0.0,0
3,Ridge,A(std),0.043299948481728724,0.14801298447389843,audio,False,True,RFE,0.0,0
3,LR,A(std),0.043373530960443114,0.1449717971557029,audio,False,True,RFE,0.0,0
14,LR,V(std),0.0435233314053386,0.07444727825131449,fusion,False,True,backward,0.0,0
13,RF,A(std),0.04377952093852606,0.12640686445392912,fusion,False,True,Pearson,0.1,0
1,RF,A(std),0.04385475188671899,0.13862507023059914,audio,False,True,Pearson,0.1,0
16,RF,A(std),0.04385528429130449,0.13308081377860875,fusion,False,True,embedded,0.0,0
2,RF,A(std),0.0438606782832709,0.11531968050502883,audio,False,True,backward,0.0,0
0,RF,A(std),0.04391389958131588,0.10098793491822362,audio,False,False,none,0.0,0
1,Ridge,A(std),0.043920141343309106,0.11916688919155824,audio,False,True,Pearson,0.1,0
13,Ridge,A(std),0.043920141343309106,0.11916688919155824,fusion,False,True,Pearson,0.1,0
14,Ridge,V(std),0.043944031718382424,0.05681277378909135,fusion,False,True,backward,0.0,0
5,RF,A(std),0.0441360879346812,0.10779094563155178,audio,False,True,RreliefF,0.0,10
2,LR,V(std),0.044145563147221865,0.04922285784543877,audio,False,True,backward,0.0,0
15,Ridge,A(std),0.04417562771658057,0.1133414319917021,fusion,False,True,RFE,0.0,0
5,Ridge,A(std),0.04427790123729134,0.11027977664286684,audio,False,True,RreliefF,0.0,10
5,LR,A(std),0.044303897106232296,0.10919823519072573,audio,False,True,RreliefF,0.0,10
13,LR,A(std),0.04433176666307977,0.10259371086733268,fusion,False,True,Pearson,0.1,0
1,LR,A(std),0.04433176666307977,0.10259371086733268,audio,False,True,Pearson,0.1,0
4,RF,A(std),0.044340137914877883,0.11926531939422232,audio,False,True,embedded,0.0,0
2,Ridge,V(std),0.04441893622628972,0.03708195136670413,audio,False,True,backward,0.0,0
17,RF,A(std),0.04449845783768307,0.12157489510522487,fusion,False,True,RreliefF,0.0,10
3,RF,A(std),0.04454732063041522,0.101492564616714,audio,False,True,RFE,0.0,0
15,LR,A(std),0.04458930987935726,0.09395680183675609,fusion,False,True,RFE,0.0,0
16,kNN,A(std),0.044806074227454896,0.08723172861429859,fusion,False,True,embedded,0.0,0
17,Ridge,A(std),0.0448476863577044,0.08774226559022476,fusion,False,True,RreliefF,0.0,10
12,RF,A(std),0.04488407441498825,0.07651663772891913,fusion,False,False,none,0.0,0
14,RF,A(std),0.044896446662161506,0.1105580579661821,fusion,False,True,backward,0.0,0
17,LR,A(std),0.04491496085140573,0.08521860275298096,fusion,False,True,RreliefF,0.0,10
0,RF,V(std),0.045018300223182796,-0.02055458716817691,audio,False,False,none,0.0,0
16,Ridge,V(std),0.04506930153601416,0.010308925432702943,fusion,False,True,embedded,0.0,0
16,LR,V(std),0.045076466596023226,0.009988859456750866,fusion,False,True,embedded,0.0,0
4,Ridge,V(std),0.045181672211466496,0.004820505268913177,audio,False,True,embedded,0.0,0
4,LR,V(std),0.04518879504708191,0.0045025617644805175,audio,False,True,embedded,0.0,0
3,LR,V(std),0.045372767861725956,-0.0036677292350220992,audio,False,True,RFE,0.0,0
16,RF,V(std),0.04539858850799283,0.002843925217183707,fusion,False,True,embedded,0.0,0
5,LR,V(std),0.045444929550722005,-0.0062623849464851,audio,False,True,RreliefF,0.0,10
3,Ridge,V(std),0.045453017127738506,-0.007379014407105889,audio,False,True,RFE,0.0,0
5,Ridge,V(std),0.0455217225776363,-0.009977190512292355,audio,False,True,RreliefF,0.0,10
8,LR,V(std),0.045533919902580405,-0.010776110987762655,eda,False,True,backward,0.0,0
8,Ridge,V(std),0.04555629502397217,-0.011816457945552162,eda,False,True,backward,0.0,0
0,Ridge,A(std),0.04555978287513522,0.0505515380375144,audio,False,False,none,0.0,0
4,RF,V(std),0.04557358176536959,0.0162880389559115,audio,False,True,embedded,0.0,0
2,RF,V(std),0.04559810330865027,-0.02050069624869224,audio,False,True,backward,0.0,0
10,RF,V(std),0.04561441850657576,-0.04329066147934144,eda,False,True,embedded,0.0,0
14,RF,V(std),0.04561897428751345,-0.015798042671669434,fusion,False,True,backward,0.0,0
5,RF,V(std),0.04562755897622578,-0.009081708461046455,audio,False,True,RreliefF,0.0,10
