,music_ID,valence(mean),arousal(mean),valence(std),arousal(std),ZCR,energy,tempo,beat_mean,beat_std,beat_median,beat_kurt,beat_skew,spec_cent_mean,spec_cent_std,spec_cent_median,spec_cent_kurt,spec_cent_skew,spec_roll_mean,spec_roll_std,spec_roll_median,spec_roll_kurt,spec_roll_skew,spec_flat_mean,spec_flat_std,spec_flat_median,spec_flat_kurt,spec_flat_skew,MFCC0_mean,MFCC1_mean,MFCC2_mean,MFCC0_std,MFCC1_std,MFCC2_std,MFCC0_median,MFCC1_median,MFCC2_median,MFCC0_kurt,MFCC1_kurt,MFCC2_kurt,MFCC0_skew,MFCC1_skew,MFCC2_skew
0,1,0.575,0.4,0.160078105936,0.15612494995999998,92324,0.11643151,0.47368421052631576,0.23904227632853484,0.3157189784024595,0.2412488174077578,0.4250143569964021,0.4086770870612611,0.6624214353236695,0.608096340899208,0.6824688764804211,0.004182564580218708,0.14290357553704908,0.666544386503587,0.47393218455269076,0.7255520504731862,0.11600751658575881,0.2683680221406146,0.34051394,0.29085398,0.143286,0.002546690479663254,0.04930573860774689,0.6422411,0.29384425,0.46661577,0.2465668,0.6480164,0.39014968,0.6554023,0.2517884,0.4666003,0.056474985018127734,0.1055330232755536,0.16702229296656235,0.7505445154666806,0.6430723685284606,0.3982043476110606
1,4,0.2875,0.2625,0.158607219256,0.152581945197,21850,0.41792428,0.6130030959752322,0.18054765380696833,0.2691461108249761,0.18290760012614318,0.43781636599445983,0.43013288338361694,0.26232801965145636,0.49361256125954556,0.2599466078829542,0.010777351527354963,0.20434821724422006,0.3465853117348558,0.606575022108567,0.3194006309148265,0.04563238898487398,0.4716077645495642,0.060047243,0.15844548,0.013387727,0.22845952138452594,0.43336568394018915,0.5374654,0.5587078,0.58126867,0.34215444,0.62069875,0.52991813,0.5335097,0.5618642,0.56912917,0.03278851183991459,0.08524604069325782,0.067908333656848,0.7964775901111697,0.514697015399232,0.5779075780299638
2,5,0.2,0.15,0.20310096011599998,0.175,125104,0.9008774,0.515235457063712,0.9319801249567089,0.9440265305211749,0.9325134027120782,0.43812613890946434,0.41522115143935745,0.42472969882766737,0.7422068601813726,0.3675188772088609,0.006632489317514332,0.19375772322560464,0.49269922269465827,0.6798689243625363,0.61198738170347,0.041715436021616564,0.36534258835222555,0.16164495,0.2052184,0.020702645,0.004007276750964492,0.06080259025757362,0.5208869,0.42801702,0.684415,0.2857926,0.8034397,0.6924665,0.5141626,0.4130603,0.66416866,0.022982038483513486,0.06202042270807968,0.0919725988817599,0.8510791211930685,0.5662264267466969,0.5303705361590575
3,6,0.35,0.5125,0.2,0.171846588561,57150,0.2982995,0.5614035087719298,0.1972948463449964,0.29791423750757734,0.1999369284137496,0.485968398135938,0.3561644359176612,0.5326601100032731,0.6229915051332141,0.5361069753960992,0.006096465041899221,0.16002937077884022,0.5610646535441464,0.5877512768357304,0.6892744479495269,0.04420882895593249,0.3511914594012484,0.18315732,0.20248191,0.06638247,0.007501329426301764,0.08109217980083881,0.6206572,0.34885177,0.4637385,0.55225307,0.7060773,0.6643437,0.68447644,0.35068125,0.43041885,0.04052534258353873,0.08749180585846912,0.07127091842318334,0.7037013462745995,0.5232732034216148,0.6267915318652421
4,7,0.725,0.7,0.122474487139,0.139194109071,82860,0.26217112,0.40191387559808617,0.17310652506098603,0.27426537188938593,0.17565436770734785,0.4328975358818138,0.41408025932276926,0.6050794260305913,0.5168201231294921,0.5371663952335316,0.01695180649751126,0.25611343630956335,0.678461165106373,0.34811632431315687,0.6861198738170347,0.14121192722997183,0.4509785283893577,0.3119772,0.24524662,0.1510489,0.002423493456506184,0.048482278165270766,0.79682815,0.3899415,0.4919143,0.15287092,0.39739034,0.23870517,0.79500145,0.40680817,0.44463846,0.17892466223864445,0.1438004910807153,0.2897454297955654,0.5950842687871293,0.4372514411138502,0.827271621338354
5,8,0.225,0.3875,0.175,0.246538536541,66194,0.46726495,0.3157894736842105,0.3415241872304734,0.42492360392751316,0.3434247871333964,0.46974948939879024,0.374774794333106,0.40508219804035744,0.44646254769881116,0.40068973257426777,0.012541184268924727,0.2092662952419115,0.49281603113778205,0.5257875963788562,0.501577287066246,0.08942349957952977,0.43930529836232857,0.11990703,0.089696325,0.06086806,0.005599747218656432,0.0668207526678762,0.75623983,0.5411115,0.57930475,0.20914078,0.52031183,0.45987672,0.76660097,0.51485485,0.53741705,0.10886625032113094,0.15664665890015253,0.10326544199461991,0.6608509277396429,0.5480511802463939,0.6625128274614961
6,9,0.2875,0.45,0.158607219256,0.20310096011599998,59928,0.28901434,0.22867513611615245,0.11075870816945278,0.2092944011937871,0.11163670766319773,0.5299287179987888,0.36024712434084993,0.6884516112906869,0.5830033927439723,0.6984561737274028,0.005976587869305307,0.14226314853430225,0.7025038321427147,0.4570197919813536,0.7444794952681388,0.16057519211520718,0.2530889610569875,0.32658705,0.3069474,0.16039181,0.026616968073752797,0.11662888057810501,0.7601361,0.24892445,0.5461053,0.18500331,0.6673372,0.6566944,0.7715889,0.23792662,0.52920395,0.1535406406604782,0.07713658971111845,0.09072209756122805,0.6037215415113002,0.6332759565206112,0.5124154172713197
7,10,0.425,0.4375,0.139194109071,0.195655948031,76858,0.2899361,0.47368421052631576,0.24107487098098068,0.31857406933964544,0.2434563229265216,0.4482983285754139,0.4021110429670843,0.5808071865926511,0.4934919885976521,0.5630074258357145,0.014427289922971305,0.228527479008014,0.6523736504388263,0.3944188148329077,0.6892744479495269,0.14711165462076947,0.37422617612362813,0.25505164,0.17682643,0.13877791,0.002848448284964835,0.048952320666708876,0.7602503,0.41215912,0.57176346,0.24457447,0.4246473,0.37077937,0.77539456,0.39574644,0.55739695,0.08457882955726678,0.12029199900002241,0.09759328973346924,0.6823776793984702,0.5433689438492495,0.5741815156744102
8,12,0.575,0.6875,0.12747548784,0.115244305716,40234,0.3228298,0.24812030075187969,0.16295560789016572,0.2691894295545616,0.16587827183853673,0.4002171744889439,0.3786244599704199,0.4436616012102663,0.4609753435055475,0.403275088517801,0.008883780872435165,0.2007999603777993,0.5469263724011368,0.44527834807889044,0.556782334384858,0.05265145089653243,0.4133258505653931,0.14421725,0.11649422,0.054472566,0.006492591496712525,0.06584835045938883,0.6924523,0.40161481,0.5815547,0.32643422,0.4636098,0.3461215,0.7173239,0.39331108,0.57583493,0.0929204390081222,0.1555467459260071,0.16397285453513694,0.6400861741868284,0.5134447734126746,0.36465939143505777
9,13,0.5875,0.825,0.216866894661,0.139194109071,104926,0.33776024,0.43609022556390975,0.24267272735166567,0.3389496477632633,0.24471775465152948,0.4302920470771484,0.40984458331081297,0.7020595283332792,0.20759817145279738,0.7052613880287768,0.02204741589385737,0.23334858065073158,0.7676555373831775,0.18714734275112305,0.7902208201892744,0.19023888819984944,0.33082239864122626,0.46543446,0.20586786,0.34661058,0.0018932327974475816,0.03948694209422601,0.90320057,0.28273824,0.33276185,0.12455302,0.1484637,0.27491078,0.9200777,0.26548442,0.29244787,0.35969058374586543,0.18849384981229983,0.2103275473239443,0.38686234849013396,0.48476396208075373,0.51056488755393
10,14,0.575,0.5625,0.257390753525,0.160565407233,48376,0.24130775,0.11095305832147942,0.1254550155036302,0.24748490718360555,0.1280353200883002,0.2731484670016536,0.5577958142173156,0.3460348009297545,0.19533783482466335,0.3635152247189246,0.024595440932612983,0.26247654969878725,0.39880277116978935,0.21782124997607585,0.40063091482649843,0.5601892337288017,0.7821607732053593,0.07596115,0.051992815,0.041985426,0.006321629961764882,0.07301656534887545,0.7637369,0.5786959,0.35960656,0.098668106,0.240403,0.16436622,0.7633523,0.5616353,0.3216038,0.32738881679906034,0.19398692898013156,0.32393372273584276,0.4641671614980077,0.5573286866548813,0.7732198148466827
11,15,0.6625,0.6125,0.1375,0.1625,76164,0.3681947,0.515235457063712,0.2599404577923859,0.3494613956160637,0.2620624408703879,0.4380302109426165,0.41246346105468584,0.4098432788672285,0.35956812743398664,0.41020150591111665,0.024842027555211577,0.2650424314780714,0.47869840860020707,0.34454396324650655,0.48580441640378547,0.2751532486590733,0.5698946260144327,0.109348364,0.07127566,0.06095634,0.003990043836462555,0.05828117158848221,0.7708226,0.51098716,0.56817156,0.17084438,0.3052434,0.14324482,0.7949074,0.4929621,0.53976965,0.16373366812146478,0.19026833727479958,0.3392412367636308,0.5627710076640717,0.5412059389904914,0.7692111048463874
12,16,0.575,0.5375,0.169558249578,0.1375,101076,0.41376105,0.1486068111455108,0.4921150608820804,0.5569539619793878,0.4938505203405866,0.4580799915695704,0.45787717960683716,0.33889127174523437,0.2560691728029807,0.39977147245695316,0.0069207767586863655,0.10201511786609235,0.36712329951961875,0.2988710368413571,0.42113564668769715,0.24358308788600477,0.42192007977470225,0.10249956,0.04850013,0.07713132,0.003300082461889752,0.04824553081398139,0.7708786,0.601239,0.35035178,0.27127075,0.42889693,0.2757112,0.8148506,0.5256403,0.2991602,0.13818149085114886,0.14185274800422262,0.5574091861954384,0.5360338496403741,0.7813034079146702,0.9588818812745745
13,17,0.675,0.825,0.195256241898,0.139194109071,112586,0.6445015,0.6710526315789473,0.4886865088712349,0.5547843894346116,0.4900662251655629,0.43822781595472576,0.41343452514243434,0.38519253726859193,0.1250200433879387,0.41824598824773435,0.011402169538795106,0.15571670195755516,0.46695105022189615,0.26756506499610183,0.5,0.17909016663758257,0.45924149112614243,0.12444612,0.106949754,0.101914085,0.4728040021678586,0.623396928807619,0.8478429,0.57489395,0.41939935,0.1650959,0.18916024,0.06618041,0.86630917,0.5366594,0.38118517,0.18938216583241166,0.20797326115073791,0.17991585827978407,0.4955807845352372,0.706982494659836,0.7209480680762969
14,18,0.8375,0.8,0.0976281209488,0.139194109071,102788,0.5160577,0.6710526315789473,0.5235769143470572,0.510858070875058,0.5247555976032797,0.43597384726128313,0.41580235097097507,0.48990406773873413,0.38800379729745216,0.46711895145934307,0.049261332810954316,0.35595023238079615,0.6107075573450693,0.27816896224035775,0.6222397476340694,0.19483841765744178,0.5282832870920364,0.16965234,0.16373134,0.08441569,0.11579750817596851,0.2432576621193918,0.68941206,0.36160985,0.49212623,0.51275,0.38636112,0.26227993,0.73991483,0.37164417,0.42953786,0.10082319638276584,1.0,0.15373046671058804,0.5676259825691518,0.0197614997062639,0.7766441418973156
15,19,0.75,0.7625,0.136930639376,0.117924764151,101440,0.34448454,0.26900584795321636,0.3700462163816436,0.4626878799973903,0.37117628508356987,0.32849027426465843,0.5232473771030569,0.53658419820606,0.11187281658138118,0.5663355973814413,0.009971810486205287,0.13892169920101738,0.6370312383277137,0.19300795949105265,0.6640378548895899,0.1872288789831905,0.4434462078296511,0.24028113,0.062267885,0.2146391,0.0002466408119865667,0.01613101083622366,0.8471343,0.4188532,0.45422047,0.08234438,0.108046874,0.057299472,0.8579747,0.38863415,0.41679868,0.4124649941732565,0.19899281625043372,0.2748923664520362,0.3389770774357026,0.6974580309256906,0.6796542060422792
16,20,0.6375,0.55,0.103832798286,0.178535710714,212992,0.04971123,0.6710526315789473,0.8709188165767173,0.8880741522911468,0.8729107537054557,0.4322463114055654,0.36449583778035827,0.535864612721091,0.24624620474915343,0.5348737806294808,0.007104603172350892,0.16902889039721933,0.5854786487956308,0.3169979487214953,0.6009463722397477,0.0690151363008749,0.45205547792260414,0.22925098,0.1905248,0.1585761,0.13366165259753218,0.303810743065149,0.41391784,0.40500295,0.3850013,0.5451001,0.32586274,0.16499339,0.46906263,0.39305538,0.3525442,0.05935132290580679,0.11746870662139113,0.1498793708746408,0.6687612042973204,0.5295243350809561,0.5296976177427225
17,21,0.775,0.8625,0.15612494995999998,0.117924764151,122638,0.47220972,0.22867513611615245,0.39328316972332905,0.4752313718314494,0.39104383475244403,0.32418261440495755,0.46842480519092067,0.7563892661486674,0.20762396769473235,0.7546347340114585,0.01795279592583603,0.15427835336857523,0.8545201078517585,0.12443473122536657,0.8509463722397477,0.5079783006773781,0.1732869193452078,0.3694382,0.19283995,0.2929562,0.06860656279894692,0.16871552568223586,0.8603108,0.21509613,0.5162405,0.059986815,0.09630322,0.0322213,0.8681019,0.20406021,0.48679125,0.48532214555814074,0.26599597267249125,0.22521715061884184,0.3435820973138629,0.6393728496491202,0.6829757439862508
18,23,0.675,0.625,0.139194109071,0.125,60230,0.18917988,0.43609022556390975,0.16547790330723097,0.2729402070053174,0.16587827183853673,0.6003310070475415,0.5250741256069386,0.4255499264173573,0.25985196398726235,0.42184738680267475,0.02486027045506408,0.24779606474546173,0.46760182882074713,0.29012149026459977,0.44952681388012616,0.26624083805452375,0.6301343560773937,0.16015963,0.17904502,0.079624794,0.15531906535830287,0.3256846259617406,0.7338306,0.48936334,0.4178362,0.18685745,0.21195945,0.33691567,0.73884356,0.48585662,0.39310482,0.18501163691872777,0.2290657179121472,0.33465175277488945,0.5604705272492158,0.5559451266145513,0.40444797949196054
19,25,0.784090909091,0.761363636364,0.151609818911,0.13541335554300002,110002,0.32928675,0.291497975708502,0.36171759775511925,0.4434732223403696,0.36423841059602646,0.6282701684339167,0.5090084593618694,0.5469466554571407,0.3122820782163716,0.5281363069393051,0.009261841059260303,0.19794161290755702,0.59912708876923,0.3409006737894155,0.5788643533123028,0.10214276975584201,0.5202396817923803,0.2595922,0.15663794,0.1380471,0.001327329842595514,0.03622367992202519,0.82008576,0.45052174,0.42977333,0.06144477,0.25086603,0.21342848,0.81812084,0.4447619,0.37996638,0.4109931049638496,0.09693239607213078,0.22624926120154779,0.42296384893798233,0.5416076235705957,0.7932379363544186
20,26,0.7625,0.825,0.0875,0.12747548784,35050,0.23292063,0.43609022556390975,0.041105588432454446,0.16338682361002574,0.04383475244402397,0.41907854849385856,0.406141156924383,0.6448925258837195,0.3877189565012474,0.6287380228618247,0.0057079956016134956,0.17014491522989786,0.7742544737046089,0.2595664126104453,0.7783911671924291,0.25153475520870905,0.3170227794380825,0.3266227,0.32027224,0.11456968,0.028392570126026914,0.12260299290185318,0.76369345,0.2063795,0.5441381,0.31716177,0.2244719,0.35520923,0.7784706,0.2076423,0.5253596,0.09128969793531579,0.1710688964673292,0.14998192581203063,0.6565128344170601,0.5050291046800015,0.5342483712732107
21,28,0.575,0.4875,0.12747548784,0.171846588561,63034,0.7000062,0.19354838709677422,0.4645738502542422,0.5231065822339755,0.4660990223904131,0.4328495412583294,0.4109322424831981,0.2646196124601275,0.1966361657594623,0.2876814445278293,0.06178244463232178,0.32549736074757335,0.34156946962474893,0.2168053258626559,0.37066246056782337,0.30517385414332604,0.6067316609857953,0.067837976,0.06012642,0.048632994,0.056480505085899545,0.211244747325605,0.8002778,0.6316247,0.47040945,0.092743576,0.30306184,0.13140711,0.811631,0.6267558,0.4416232,0.2679107122111874,0.46329222839679274,0.3705638764384258,0.48839962190846103,0.30679101803136527,0.4543344732770151
22,29,0.675,0.7,0.160078105936,0.12747548784,92962,0.3102662,0.5614035087719298,0.35880471775298417,0.43946324478080795,0.3607694733522548,0.43502457190124066,0.41557058406883496,0.43487128176904005,0.18365589293915485,0.46405267629301117,0.020097746825033413,0.1853397504576753,0.498212517551007,0.26802909804703184,0.5189274447949527,0.1623482848602481,0.4278895513187438,0.13810988,0.06233951,0.0994563,0.0029289872392264426,0.04358795912309259,0.7712112,0.4996869,0.45938307,0.107928514,0.23953587,0.18315567,0.7842513,0.4560585,0.43568462,0.2823412718182996,0.24570795225153436,0.19963480357994218,0.5074609722491682,0.7720546569469314,0.5975628140809934
23,30,0.5375,0.6125,0.185825859341,0.1625,133732,0.4033006,0.43609022556390975,0.4441325000905575,0.5106808342064246,0.44654683065279094,0.39532052977910836,0.3167791780005621,0.4951979055797046,0.11845844821171239,0.5125870505276531,0.08120563220359385,0.33567645603510815,0.5000427272961249,0.17123781053914836,0.5078864353312302,0.39376671442835864,0.6655355884181311,0.14695138,0.12647387,0.11378129,0.2767051790443685,0.4286784601429698,0.7269076,0.34153968,0.29283956,0.27473408,0.38563728,0.25294885,0.7857839,0.3715052,0.2599083,0.04763104517200712,0.3416859837905163,0.17295276037612997,0.6716303779891803,0.23472457359921378,0.4337498225218198
24,31,0.4375,0.625,0.21830311495700003,0.185404962177,55514,0.116342865,0.43609022556390975,0.08461986966050636,0.11897027750674283,0.08766950488804794,0.3889948412259793,0.4238173544539929,0.6217838471327475,0.827671840227173,0.528327886600809,0.009633564915492401,0.2126219132448321,0.5729730005725475,0.6239584545318387,0.581230283911672,0.07658246083126279,0.4378359480172478,0.2840268,0.21047904,0.11993209,0.000994108292407925,0.03446045207917778,0.5322546,0.34996718,0.44471082,0.53249806,0.71824837,0.78149986,0.55407196,0.33811828,0.3238493,0.023364459623711458,0.07194012131168866,0.06566622079113961,0.785969779913687,0.5688193614384811,0.7229935224292346
25,32,0.3875,0.575,0.152581945197,0.12747548784,73182,0.22225694,0.40191387559808617,0.2381264216850473,0.33403530101412127,0.23841059602649006,0.4143944513994779,0.47484576549133395,0.44207520934479133,0.2826784241898461,0.43639516809578166,0.012935537040792625,0.21183714051732355,0.4740683550257815,0.3277052455464542,0.4637223974763407,0.20301834326553508,0.6229790501107637,0.08370097,0.051563945,0.044919267,0.005388164854987251,0.06345029965025889,0.6570437,0.4888542,0.36759162,0.31291783,0.31469616,0.31604722,0.67065907,0.51183057,0.37157664,0.09429279173275294,0.11825145046578722,0.15766868917326085,0.5971956210750031,0.4519922435071483,0.40399072272112313
26,33,0.75,0.6375,0.185404962177,0.1625,59248,0.39413053,0.43609022556390975,0.25416209598375694,0.3393748205122704,0.2563859981078524,0.42711032435086593,0.41284755280153607,0.5181057676124604,0.37577216300497135,0.535223804580328,0.011979842873436423,0.1995850709482827,0.6881252972194705,0.2868417788001545,0.7365930599369085,0.26373077337947975,0.2066382122694544,0.13247336,0.08341317,0.091768146,0.008498505344376142,0.0769650134990657,0.7147526,0.39187625,0.804669,0.25974455,0.32722917,0.36131054,0.73614615,0.3942476,0.8001718,0.08272068519882354,0.21183766487093997,0.402992110902646,0.6693392069137007,0.4123992509478464,0.37412529076611084
27,34,0.8375,0.6875,0.1375,0.21830311495700003,120466,0.075200096,0.8987854251012145,0.2902837957624821,0.3776903261086618,0.2904446546830653,0.5432868042105325,0.466330050376574,0.5417252555095666,0.1444234666263328,0.5429576374219749,0.05840388011528791,0.34952154608074815,0.4864718505066225,0.09620863259794031,0.5063091482649842,0.6548475780836043,0.7546260320178076,0.29574582,0.22014576,0.212733,0.058026605531921086,0.17934434667139354,0.7120053,0.38187653,0.17641902,0.06987748,0.13566771,0.11894883,0.7125901,0.3792412,0.117858656,0.5712788001779165,0.48218307754806466,0.32869304096388685,0.32156234774891646,0.290692911283244,0.8417184266561769
28,35,0.625,0.3375,0.230488611432,0.185825859341,82628,0.35974383,0.5614035087719298,0.506399917033367,0.5692607853652936,0.5077262693156733,0.44721130070977805,0.4374257284946901,0.27292269280617815,0.3326030465421773,0.25688492288017056,0.06915662547436716,0.38043584706872857,0.32940707513382866,0.2900640297825505,0.33280757097791797,0.42029278273884363,0.7454328215326304,0.050436977,0.119373515,0.019448154,0.3504995431862506,0.5183265450080191,0.63384485,0.5624334,0.54257345,0.15256508,0.33808398,0.22464353,0.6263922,0.58453155,0.50969803,0.09992067670878142,0.4871281498515285,0.11318567437028043,0.678787671646276,0.2106427571450996,0.6352680778997426
29,37,0.75,0.8,0.14790199457699998,0.169558249578,88052,0.52869135,0.5614035087719298,0.39159480549014886,0.4637498198263225,0.39293598233995586,0.43690136446894506,0.40941235531733866,0.5737349038292265,0.35378101381562893,0.5572363863337236,0.01871441602566181,0.24434742163372805,0.670842774848073,0.3713439451155695,0.6861198738170347,0.09908928474127307,0.42514176784479535,0.17487077,0.10100396,0.10609475,0.0024009163773815005,0.04490038012925746,0.78574675,0.36257076,0.43362904,0.27171746,0.30786335,0.33054134,0.81380373,0.36405572,0.42370683,0.13609946847487722,0.20850986894484008,0.24638438143605496,0.5570781333883325,0.4185099340075183,0.4181605513066857
30,38,0.8375,0.8875,0.125623445264,0.103832798286,115542,0.46186137,0.5614035087719298,0.3213194843724943,0.40707389676475564,0.3286029643645538,0.4248647108398864,0.21130366921826566,0.6877762016921865,0.3046626079118271,0.6656114077144755,0.00863974124491825,0.18824930306829615,0.7594928535648748,0.313057750994529,0.7886435331230284,0.0967486846876113,0.3501704006084919,0.42514837,0.23792893,0.25843126,0.0005448816477760772,0.02725172906150705,0.8807904,0.31484553,0.4171575,0.17334731,0.19220208,0.23558386,0.8809559,0.2910724,0.38390213,0.16120776743936344,0.10032510225386056,0.18667440945361072,0.6012099317503358,0.6324025281698971,0.5477595167563185
31,39,0.590909090909,0.875,0.12026142322999998,0.15990053726700001,115548,0.60226876,0.22867513611615245,0.39431495028031577,0.4619922464172042,0.39640491958372753,0.4835818757855901,0.35824921857688163,0.7308224419913675,0.2954898326277131,0.7100082221072804,0.008402418190395656,0.16922986627552303,0.8254994666923363,0.18663092839744314,0.8296529968454258,0.3046719694205952,0.2477013170344754,0.42261642,0.22510602,0.32419842,0.02852252558650564,0.10032627035269433,0.9070923,0.27593538,0.55283695,0.15986966,0.24660201,0.099991105,0.91968244,0.2806988,0.51974857,0.317515216541004,0.14200600488437456,0.21301095666004974,0.4018877987239058,0.5263191337196944,0.7487399456452507
32,40,0.6625,0.375,0.209538182678,0.167705098312,90682,0.12122045,0.17763157894736842,0.2777071163504734,0.37746632612820763,0.2781456953642384,0.5526127773173536,0.6419441201110357,0.5829828603692975,0.32573909126087824,0.5810077356547699,0.01958094105781208,0.22742531631619414,0.697321688109538,0.3545627283507324,0.7208201892744479,0.14340621185114089,0.331520303207664,0.20575929,0.1319867,0.1225238,0.003649573259135574,0.05424129994621843,0.6388137,0.37898102,0.5669209,0.14896914,0.27636427,0.2262066,0.6398456,0.34333366,0.53722763,0.11454057097052008,0.15420968101697285,0.14880765131225027,0.6714375584811817,0.6543864555824468,0.5766913159478455
33,42,0.6,0.7625,0.175,0.171846588561,113550,0.4230182,0.515235457063712,0.44021420196363154,0.5076964017528974,0.44181646168401134,0.43666996334286506,0.41036277974298524,0.5679856314300644,0.20264297461598835,0.5543388181316009,0.01760725032534094,0.2330580379508965,0.6012614194110623,0.23054688426717268,0.5615141955835962,0.18251816503390278,0.5893617452846467,0.24123442,0.15358764,0.15179516,0.004341766369540322,0.05859827237352082,0.82067984,0.35457575,0.35385564,0.15206747,0.12454132,0.23051846,0.82344806,0.35008353,0.32441506,0.2939893975629021,0.18819129294373235,0.33704984523964354,0.4131953958860544,0.4756836358373999,0.4299638521173937
34,43,0.7875,0.8625,0.17721808598400002,0.0673145600892,99438,0.41166458,0.43609022556390975,0.3438345330554187,0.4182692394380771,0.34500157678965626,0.5510580643454863,0.4737485838620049,0.6153653313780062,0.3225224221074724,0.5968167320087006,0.027944520558833424,0.2406007996303702,0.7152591745612961,0.369197512632396,0.7097791798107256,0.1798159116069333,0.3990638338729293,0.23521627,0.12225886,0.17372231,0.005292725391912599,0.06203176258396598,0.79207295,0.3534725,0.5350589,0.36758387,0.1701035,0.20224088,0.84369737,0.35276935,0.49587244,0.11931521590761078,0.28159907960124214,0.15530267635425046,0.5447302432875987,0.475758186001656,0.6951671836312566
35,44,0.675,0.6875,0.275,0.139754248594,119986,0.5692323,0.515235457063712,0.6017035581937311,0.6522317296723298,0.6029643645537686,0.4366688965677361,0.4170904339720504,0.3505144875992473,0.1372405036208536,0.3829641125526144,0.020658328456980905,0.1418089504158235,0.4050955249408129,0.24678217946261022,0.4274447949526814,0.2549430804511442,0.43424281794085373,0.10734611,0.047085874,0.08218895,0.006471616058481407,0.06287636890916216,0.7892156,0.5816109,0.44858158,0.27477914,0.12994711,0.112273805,0.82426107,0.5559518,0.41682294,0.11058506770081214,0.2044841341367717,0.12800305025537173,0.5702159201998134,0.557217422780216,0.623507045240304
36,46,0.575,0.8375,0.225,0.125623445264,95368,0.6735811,0.5614035087719298,0.41315030741858344,0.48547539881952373,0.41501103752759383,0.4319510555493183,0.41140822627478824,0.5122257793885006,0.46115416177270885,0.4868371275009211,0.009470661227640514,0.19922545247070522,0.5688863894612959,0.4682497374626501,0.5141955835962145,0.037256469126768485,0.45473357011813437,0.20414871,0.20748384,0.06943074,0.004438248354257314,0.06402925219328151,0.77969706,0.36930078,0.36850223,0.22611879,0.49231043,0.53494,0.77098495,0.3754086,0.35249332,0.0706023364230347,0.08315016807825396,0.12872075332617566,0.7477379481851288,0.5036025997031837,0.48014081879554366
