music_ID,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,meanMFCC[0],stdMFCC[0],medianMFCC[0],kurtMFCC[0],skewMFCC[0],meanMFCC[1],stdMFCC[1],medianMFCC[1],kurtMFCC[1],skewMFCC[1],meanMFCC[2],stdMFCC[2],medianMFCC[2],kurtMFCC[2],skewMFCC[2],meanMFCC[3],stdMFCC[3],medianMFCC[3],kurtMFCC[3],skewMFCC[3],meanMFCC[4],stdMFCC[4],medianMFCC[4],kurtMFCC[4],skewMFCC[4],meanMFCC[5],stdMFCC[5],medianMFCC[5],kurtMFCC[5],skewMFCC[5],meanMFCC[6],stdMFCC[6],medianMFCC[6],kurtMFCC[6],skewMFCC[6],meanMFCC[7],stdMFCC[7],medianMFCC[7],kurtMFCC[7],skewMFCC[7],meanMFCC[8],stdMFCC[8],medianMFCC[8],kurtMFCC[8],skewMFCC[8],meanMFCC[9],stdMFCC[9],medianMFCC[9],kurtMFCC[9],skewMFCC[9],meanMFCC[10],stdMFCC[10],medianMFCC[10],kurtMFCC[10],skewMFCC[10],meanMFCC[11],stdMFCC[11],medianMFCC[11],kurtMFCC[11],skewMFCC[11],mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var
1,129.19921875,45448,688.6060606060606,0.4005062,0.29859808,0.08916081,0.4012605,0.3157776,0.099715486,0.2266532297339794,0.17877820556345594,0.03196164678448931,6.725539,52.530117,2759.4133,2874.357097576351,1097.5350931105024,1204583.2806090794,2632.3020331178195,478.52903555883574,228990.03787286946,21.357358181897414,7.056910120190704,49.79998044444997,5852.248694378397,1904.9564729423373,3628859.1638049097,1.9115038411722236,2.295978596751694,5.271517716741879,0.013284489883632062,0.10054924111543441,0.010110149888889764,0.13046627321105073,0.0878857150852925,0.00772389891605321,-8.161179e-05,0.13124344,0.017224839,0.00036365533,0.09527752,0.009077805,2.2360816326530615,1.36317351189018,1.8582420235190067,-83.70189,70.36975,-72.68701,2.716992538534364,-0.9644829034805298,69.168396,42.897415,65.10506,-0.04547368006132313,0.24623994529247284,0.08882225,23.885254,3.0196218,0.6318238625104233,-0.6123409271240234,13.368495,18.221697,14.632584,1.127715607164185,-0.4970219135284424,-8.324059,18.743706,-7.0133204,0.5584670202686337,-0.3546079695224762,18.346708,14.60798,20.19575,-0.18413994265640898,-0.4934101104736328,-5.287291,13.858464,-3.5061798,0.1551349708368015,-0.414478063583374,0.6366648,14.800909,2.1350696,0.035093865554415515,-0.4208468794822693,-3.7616436,13.788434,-3.4469886,0.03327953382054094,-0.12288852035999298,2.5678418,13.535014,5.7085295,0.254914778602509,-0.759043276309967,-2.287557,11.739734,-0.98530304,0.1417479408279596,-0.3197546899318695,13.889742,10.46758,14.92663,0.09347596319292295,-0.41774049401283264,0.0217794,4.934279,24.347107
4,151.99908088235293,39347,596.1666666666666,0.52406824,0.28690997,0.08231733,0.45544684,0.29306749,0.08588856,0.24203544387998813,0.15732824679360807,0.024752177239150446,29.521248,313.45193,98252.12,1754.9806282877234,941.0722876734644,885617.0506269677,2247.4953857314044,649.5582476743092,421925.9171217192,20.676389081340766,7.40964200325453,54.902794616393805,3903.944770863514,2267.7876985570374,5142861.045726623,2.2645823427464524,2.778548396402423,7.720331191150477,0.013740124254057458,0.09200292150867889,0.00846453756613213,0.03525891840852649,0.04096507429522654,0.0016781373120134302,4.2465246e-05,0.33474964,0.11205732,-0.00077293866,0.10475969,0.0109745925,2.382367346938776,1.3179732985321393,1.7370536156436873,-125.98281,84.41297,-121.68929,1.03778792942121,-0.5921593904495239,105.86718,41.507088,109.556015,-0.27987671103754774,-0.3330555558204651,13.170145,29.238062,14.074846,-0.32796856938034136,0.0451931357383728,26.035442,23.422676,26.784908,0.04107618951865666,-0.36137908697128296,3.8625407,15.769834,3.9551797,0.03360177126256181,-0.19628915190696716,3.3430276,17.152494,7.160268,0.5868007189180671,-0.8184558153152466,0.9053475,14.677779,3.2065616,2.1565768227783666,-1.1994730234146118,4.7459626,16.560871,6.4563923,-0.19743578226846203,-0.35301673412323,-7.3471613,14.236823,-6.3668494,-0.2723559944397498,-0.19778893887996674,10.876856,14.680905,13.044004,1.1105087001955605,-0.9300225377082825,-0.54212856,12.879891,0.7476472,0.949842766215613,-0.5424813628196716,8.189248,9.720685,8.568237,0.6843483794469933,-0.30505797266960144,0.034023974,5.334103,28.452656
5,135.99917763157896,346030,1783.659793814433,0.5415095,0.2905653,0.084428206,0.39848557,0.31517035,0.09933235,0.22387950264952072,0.18223968181144456,0.03321130162673656,21.686726,235.79237,55598.043,2209.3460617637556,1280.8213905366563,1640503.434456254,2432.8420544026526,687.6422642166527,472851.8835370049,20.725610814313836,8.044129086037472,64.70801275283405,4793.665764740159,2468.275843072863,6092385.637497054,1.9806432888119219,2.5449091834120305,6.476562751814887,-0.007431271370384573,0.10244029447241322,0.010494013931594734,0.06743177550932321,0.08014286657965183,0.006422879063603875,-3.4376937e-06,0.2696234,0.07269678,0.00024147035,0.1101994,0.012143908,1.6474557823129252,0.9191546530801641,0.8448452762789168,-132.67284,76.13259,-129.46704,0.3425778348107338,-0.1495712548494339,87.75902,50.80767,88.22421,-0.5482337833590236,-0.10052839666604996,24.938627,35.463287,24.322517,-0.09493681681247867,-0.12874488532543182,35.866493,20.977442,35.88021,-0.16140251265989036,-0.12490008026361465,16.456795,18.384157,16.744783,0.060366164703172576,0.02674294449388981,15.138644,18.384447,17.16161,-0.36933840612198043,-0.3245995044708252,-0.9695024,15.255719,-1.4291707,-0.04690554333049457,0.02895554155111313,13.466156,14.14541,13.626359,-0.1816386893853985,-0.030356572940945625,-12.350466,14.336746,-11.136032,0.41761258947426017,-0.4541330337524414,7.842204,11.252135,7.7949877,0.12534102154780102,-0.09386277943849564,1.3633378,11.386213,1.24708,0.41115012127546624,-0.025305813178420067,3.3529778,10.0063715,4.156285,0.24077612936263604,-0.3810608983039856,0.008901326,5.894866,34.749443
6,143.5546875,42339,622.6323529411765,0.5678356,0.25321275,0.064116694,0.33481187,0.30293286,0.09176831,0.20009771692433,0.20807267243682923,0.04329423701500403,19.770115,160.4141,25732.68,2511.312447258087,1117.8920309302825,1249682.5928174318,2504.439364208197,625.7938700069437,391617.96773826756,21.4351821839556,7.932860240538472,62.930271595916096,5209.95849609375,2216.2972246358568,4911973.3879286,2.5722904630298182,3.2848460736159626,10.790213727350206,0.02485387863233086,0.11576130796619338,0.013400680422043868,0.08780680979330709,0.06454105784714853,0.0041655481480289734,4.6326077e-06,0.26764923,0.07163611,0.00032706273,0.10516087,0.011058809,2.179192743764172,1.3355667999448728,1.7837386771149881,-92.41182,115.27952,-60.998863,1.5862748969353024,-1.3441834449768066,76.79009,45.85242,79.28185,-0.2539283394918579,-0.2943553924560547,-0.23945975,34.38625,-0.8816576,-0.2954062196084508,0.22405950725078583,31.244814,27.45378,25.798698,0.4700308370986348,0.7566099166870117,18.780533,16.187668,19.121555,-0.05576755855431692,-0.17803910374641418,8.17551,21.332376,8.995007,0.06917361753792317,-0.24393489956855774,1.4153912,12.861792,1.7664521,-0.06311002991943049,-0.07520580291748047,23.039467,14.487218,22.708069,0.16578963241999256,-0.07766225934028625,-5.285356,13.315445,-4.1014214,0.1356305625888039,-0.41032424569129944,12.845482,11.575115,13.694918,0.22224106741734317,-0.4196711480617523,4.784215,11.969921,4.7776747,-0.4228290166177211,-0.2804890275001526,7.0091095,10.573427,7.3840446,-0.26583849543019156,-0.16628216207027435,0.0006982528,5.5136485,30.400322
7,117.45383522727273,31558,584.4074074074074,0.39074486,0.30510846,0.093091175,0.58427304,0.2523453,0.063678145,0.2725321341642838,0.09518176916402725,0.009059569181194169,17.159561,111.55046,12443.506,2713.92632468658,972.7896213337822,946319.6473747233,2679.5533613201114,376.8047625619049,141981.82908933354,20.252560615714035,7.054508407220362,49.76608886754276,5924.812682520467,1560.7997614783826,2436095.895430976,3.317783747018368,3.901659812884514,15.222949295478019,0.008147398948098536,0.058002775792167276,0.003364321999596426,0.12917262068190893,0.0919375041250609,0.00845250466474559,-3.57081e-05,0.17678621,0.031253368,-0.00037455015,0.1730859,0.029958727,2.6726167800453515,1.5007511345190936,2.2522539677603466,-21.3203,56.604458,-16.566483,11.397814745625857,-2.224609851837158,82.483376,30.141823,87.327934,0.39668228891668633,-0.6825297474861145,2.975259,18.08528,0.6515784,1.820241102288949,0.9576160907745361,12.377713,15.859838,13.436757,0.04159552240306219,-0.21604713797569275,-0.546837,13.718859,-0.5387235,-0.18543812532952053,-0.21588709950447083,11.084571,10.243058,11.585281,-0.5152989404227291,-0.16349267959594727,-11.370221,13.293888,-9.452236,-0.1809592559917217,-0.5109742283821106,7.948662,9.647967,7.2590055,-0.2480905927745245,0.09727698564529419,-8.387239,8.761552,-7.6640596,0.007719433401734754,-0.3211263120174408,1.7366673,10.107035,2.3690357,0.16253725001232633,-0.17137643694877625,-2.0842102,8.824963,-2.2470112,0.28817017715542637,-0.13220512866973877,-4.104206,9.502615,-4.3609304,-0.37609934701817416,-0.0812370628118515,0.020653617,3.5403047,12.533757
8,103.359375,57838,850.5588235294117,0.3911476,0.29776233,0.0886624,0.41706848,0.29423797,0.08657598,0.22848453358989185,0.1764317183602283,0.031128151243542925,22.736065,117.346146,13770.118,2154.376524150413,876.6332604040408,768485.8732466188,2519.283603456583,561.73750419518,315549.02361942985,20.538501397080577,6.4257843561038435,41.29070459114889,4794.377038043478,2046.8017694870289,4189397.483575233,3.6340681592276867,4.106210073540524,16.860961168045677,-0.009996164474215325,0.08871425725141244,0.007870219439669784,0.07483610733695652,0.04372555613761756,0.0019119242595439447,-5.417457e-05,0.2454178,0.0602299,-0.0008496192,0.13991201,0.019575369,2.894367346938776,1.5865580943285431,2.5171665866794184,-37.69919,64.87132,-27.98383,6.43116532872388,-1.6915196180343628,103.42909,36.397903,102.81698,0.5451114927714356,-0.18254444003105164,12.946069,26.555637,10.65547,0.014419982469279446,0.3547637164592743,20.515158,17.07501,20.641972,0.1249378347005985,-0.15223844349384308,3.4020026,14.609951,4.251031,0.25581255936531244,-0.329575777053833,9.9788,11.384405,10.097574,-0.12881490913443328,-0.019581299275159836,2.5933616,11.411287,3.3218365,-0.1652872560165104,-0.26007938385009766,10.230319,10.799651,10.572144,0.371728753168564,-0.27303311228752136,8.216105,11.695528,8.323619,0.36335340068817734,-0.2404223382472992,6.5669193,10.756309,6.7318726,1.1297472025430038,-0.15947574377059937,6.249374,11.234857,5.752056,0.8371996206194323,-0.07281449437141418,4.5548487,8.793363,4.5735254,0.11773214142939059,-0.112118661403656,0.02288359,4.397525,19.338226
9,89.10290948275862,16034,485.8787878787879,0.4298842,0.30534494,0.09323554,0.43159956,0.3084412,0.09513597,0.23558863576109954,0.1668272400825396,0.027831328033557312,23.809334,212.26599,45056.85,2947.1840058121848,1063.2410378529648,1130481.50457465,2753.074734894999,451.69362086809167,204027.12713292736,20.320160435505226,6.860497210581436,47.066421976395674,6071.213976350075,1858.694313312721,3454744.5503410473,3.2141239585284245,3.67188146823596,13.48271351677467,0.0021985159637323095,0.09168525956894744,0.008406186822225268,0.11771511911505539,0.07829921625359862,0.006130767265927801,-8.656094e-05,0.25766665,0.06639211,0.00018642689,0.14613526,0.021355513,1.7589115646258502,1.007940627209099,1.0159443079786716,-36.12689,61.325176,-25.978594,9.598265876058772,-2.1545979976654053,62.94443,43.880745,63.117897,-0.37357619946839327,0.20203350484371185,9.158185,34.0933,9.76989,-0.10704632905348799,-0.19444265961647034,13.99098,25.761889,16.791891,0.24435382420483576,-0.48558732867240906,-17.441002,22.1887,-13.276667,-0.39289640631464673,-0.42531803250312805,1.2306433,17.812008,4.0383515,-0.4401645757717483,-0.4190463721752167,0.78229517,16.021545,3.378124,0.26070609532625566,-0.679115891456604,6.6750407,15.279505,8.206902,0.17933095899263263,-0.5570192933082581,-5.1138935,12.201399,-4.5581846,-0.034651752499329724,-0.14669683575630188,-2.9783714,13.627205,-1.035231,0.5462916646688689,-0.6541736721992493,0.053971797,12.378273,0.61947155,-0.24347598286475725,-0.2163342535495758,11.755195,10.405828,11.7397175,-0.2676163092816588,-0.04516439139842987,0.049687047,4.048353,16.389162
10,129.19921875,45660,691.8181818181819,0.4044806,0.29461816,0.08679985,0.5299347,0.27318883,0.07463214,0.26213377166447005,0.12090996272554559,0.014619219086292823,17.503899,123.810486,15329.036,2646.017749790088,940.9075033083933,885306.9297820341,2731.7959532772543,374.22249467186896,140042.475518437,20.28899875471987,6.461781531311482,41.754620558398166,5765.959844174592,1687.455596756463,2847506.3910247106,3.201325436631604,3.971692559970474,15.774341790924819,0.01492586543890744,0.0677524616016337,0.00459039605308085,0.1086662845335145,0.07037907855636336,0.004953214698442764,2.5869404e-05,0.18713129,0.035018116,-6.2259496e-05,0.16658586,0.02775085,2.7759455782312927,1.4932520669222142,2.2298017353674653,-36.08084,70.07705,-24.448689,4.709357755966954,-1.5170284509658813,85.56179,31.529064,85.74218,0.1250567884243705,-0.2036730945110321,12.085648,23.143415,12.809812,-0.04050758626776041,0.031559474766254425,10.285838,19.642487,8.52976,0.25909269238160837,0.2777996063232422,-6.486303,16.082825,-5.4786105,2.559827944632673,-0.9805704951286316,3.8246617,13.832261,4.5051527,0.5059817322615547,-0.32518118619918823,-5.896974,14.385478,-6.53974,0.7313771299584912,0.30038660764694214,3.3786254,11.395415,4.7457724,-0.11479768626062237,-0.4825155436992645,-8.111873,10.803692,-6.689148,0.18436135744557358,-0.39055001735687256,-0.012179344,11.948834,1.2260108,0.8472301302189957,-0.6500239968299866,-3.9175103,10.410938,-3.3335843,1.331351238954463,-0.2878095209598541,2.030534,10.079481,2.6897807,-0.002503724726802936,-0.24859406054019928,0.03478194,4.305405,18.536512
12,92.28515625,23303,568.3658536585366,0.45983782,0.31297106,0.097950876,0.4607783,0.2808572,0.078880765,0.25294838176066825,0.13910589311022223,0.01935044949799257,24.180195,174.96286,30612.004,2262.313506904899,896.4676225626271,803654.1983030888,2575.2548208636454,476.4264799605726,226982.19080762184,19.290647738847138,7.373528256304745,54.368918946524495,5123.867271325107,1826.5767669746283,3336382.685651486,2.996134812296342,3.6206453262465788,13.109072578471194,0.02060018541284587,0.07652564070986738,0.005856173686055711,0.06726922947961374,0.05124679954858753,0.002626234463973111,0.000109273285,0.24955122,0.062275812,-0.00018110903,0.13339737,0.017794859,2.458993197278911,1.5671818103994313,2.4560588268468386,-63.43982,82.10344,-47.79378,5.300719286740652,-1.8598341941833496,84.1008,33.51206,85.39306,0.5324027060455689,-0.3387063145637512,13.202787,22.199076,14.797897,0.6022939360663275,-0.7350819110870361,30.030409,19.588604,34.363937,4.6040414554451035,-1.8550186157226562,3.3947918,16.246048,7.570713,5.756164034680985,-2.007676362991333,18.008154,11.822614,19.850498,1.81355869815936,-1.1206459999084473,-0.69279957,8.997493,0.5798624,4.577150975748052,-1.5604221820831299,9.070289,11.641453,11.620359,3.3038675814641767,-1.7303813695907593,-0.40929368,8.669364,0.039624333,4.699392401453943,-1.0721684694290161,5.446409,9.810046,7.5796413,2.5915213117019187,-1.4258639812469482,1.7517544,7.614071,2.4083428,2.9543488811144645,-0.998006284236908,9.739907,7.040703,10.227966,3.78079622986576,-0.8749625086784363,0.0072614322,3.911479,15.299667
13,123.046875,46521,694.3432835820895,0.37749538,0.28662324,0.08215287,0.42773858,0.28348112,0.08036154,0.2335114923405805,0.16972246839534344,0.02880571627820835,18.047693,96.20397,9255.204,2985.2560698273273,550.1818579079652,302700.07677106035,2775.840753249551,287.4298471618834,82615.91703950365,19.43982874541811,6.436497632791882,41.428501776935505,6467.937598067723,1120.4851998911452,1255487.0831750997,4.18927328002677,4.552209847596023,20.722614496550207,0.034821621774977635,0.07912389267690591,0.006260590392346523,0.14372613456811797,0.05336754797593478,0.0028480951769637003,4.1436142e-05,0.21605591,0.04668016,5.7448997e-05,0.13894999,0.0193071,2.863020408163265,1.8293301582506916,3.3464488278855002,21.604908,52.444145,33.71563,24.21284914444515,-3.9124114513397217,67.62958,17.472723,67.06845,0.9130852930940372,-0.46812885999679565,-15.183243,19.47187,-15.758439,1.0511800831961402,-0.2012137472629547,4.6899247,13.204311,4.641554,0.14391594672169417,-0.1284235715866089,-0.38896152,11.613717,1.4099498,1.150622151553006,-0.8132728338241577,2.4865189,11.356168,2.5478137,2.153723152182816,-0.7216442823410034,1.1800569,9.205667,0.9756406,0.20041402808377073,0.12721335887908936,6.9836493,6.8914647,7.3678527,0.16528020260859932,-0.2551221549510956,-5.173237,7.738458,-4.481338,0.44419243615082005,-0.5297392010688782,10.825435,8.721,11.016294,0.33120428029742444,-0.46857938170433044,-4.477373,8.264099,-4.4661083,-0.10233503928168952,0.022742997854948044,3.7230608,7.6037374,3.6733112,-0.5769868174559569,0.146178737282753,0.032159273,2.6093512,6.808713
